index,timestamp,respondent,respondent-name,type,type-name,load_mw,value-units,hour,dayofweek,month,year
205,2023-01-03 03:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,80632,megawatthours,3,1,1,2023
206,2023-01-03 03:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,87415,megawatthours,3,1,1,2023
207,2023-01-03 03:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3638,megawatthours,3,1,1,2023
208,2023-01-03 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,80994,megawatthours,4,1,1,2023
209,2023-01-03 04:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,76850,megawatthours,4,1,1,2023
210,2023-01-03 04:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,84516,megawatthours,4,1,1,2023
211,2023-01-03 04:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3522,megawatthours,4,1,1,2023
212,2023-01-03 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78335,megawatthours,5,1,1,2023
213,2023-01-03 05:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,73861,megawatthours,5,1,1,2023
214,2023-01-03 05:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,82628,megawatthours,5,1,1,2023
215,2023-01-03 05:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4292,megawatthours,5,1,1,2023
216,2023-01-03 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,75642,megawatthours,6,1,1,2023
217,2023-01-03 06:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,70405,megawatthours,6,1,1,2023
218,2023-01-03 06:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,79554,megawatthours,6,1,1,2023
219,2023-01-03 06:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,3912,megawatthours,6,1,1,2023
220,2023-01-03 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,73981,megawatthours,7,1,1,2023
221,2023-01-03 07:00:00,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,69132,megawatthours,7,1,1,2023
222,2023-01-03 07:00:00,PJM,"PJM Interconnection, LLC",NG,Net generation,78293,megawatthours,7,1,1,2023
223,2023-01-03 07:00:00,PJM,"PJM Interconnection, LLC",TI,Total interchange,4313,megawatthours,7,1,1,2023
224,2023-01-03 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,73402,megawatthours,8,1,1,2023
